Keyword Phrase,,,Keyword Sales,Magnet IQ Score,Search Volume,Search Volume Trend,H10 PPC Sugg. Bid,H10 PPC Sugg. Min Bid,H10 PPC Sugg. Max Bid,Sponsored ASINs,Competing Products,CPR,Organic,Title Density,Smart Complete,Amazon Recommended,,category
zentangle coloring book,,,2,752,621,27,0.57,0.39,0.72,352,>826,10,0,5,0,1,,coloring
zen doodles coloring book adult,,,-,0,0,n/a,,,,187,>511,8,1,0,0,1,,coloring
yuri coloring book,,,0,"1,158",345,-1,0.85,0.43,0.97,405,298,8,0,5,1,0,,coloring
yoga coloring book for adults,,,-,543,228,0,,,,207,>420,8,0,2,1,0,,coloring
yoga anatomy coloring book,,,13,"3,214",331,-12,0.78,0.65,1.33,257,103,8,0,7,1,0,,coloring
yellowjackets coloring book,,,-,"41,000",287,n/a,0.92,0.89,1.19,11,7,8,1,0,1,0,,coloring
y2k coloring book,,,2,"1,368",338,-8,0.62,0.52,0.72,354,>247,8,0,6,1,0,,coloring
xxx coloring book,,,-,"1,471",278,36,,,,105,189,8,0,0,1,0,,coloring
xl coloring book kids,,,-,306,306,24,,,,338,">1,000",8,0,0,1,0,,coloring
xl coloring book,,,-,"1,194",209,19,,,,190,>175,8,0,0,1,0,,coloring
wurley coloring book,,,-,"2,313",185,-1,0.64,0.51,0.7,137,80,8,1,0,1,1,,coloring
wurley art coloring book,,,3,"4,909",324,-27,0.65,0.61,0.96,113,66,8,0,0,1,0,,coloring
word search coloring book bold and easy,,,-,586,251,1,,,,279,428,8,0,4,0,0,,coloring
woodland kingdom coloring book,,,-,"1,014",285,-11,,,,254,281,8,0,1,1,0,,coloring
woodland coloring book,,,1,379,330,17,0.6,0.49,0.72,264,>870,8,0,2,1,0,,coloring
woodland bold and easy coloring book,,,-,"1,898",260,n/a,,,,58,137,8,0,0,0,0,,coloring
wizard of oz coloring book,,,5,"3,588",409,-3,0.63,0.41,0.82,256,114,8,0,4,1,0,,coloring
witchy vibes coloring book,,,12,"1,510",231,-57,1.04,0.81,1.42,494,153,8,0,2,1,0,,coloring
witchy vibes bold and easy coloring book,,,-,"2,970",300,0,,,,108,101,8,0,1,1,0,,coloring
witch coloring book for adults,,,7,451,451,0,0.7,0.67,0.87,208,">1,000",8,0,6,1,0,,coloring
